"id_palabra","Palabra","id_cronista","id_texto","cita","pagina"
9022,"Angaraes",9,"T9030","Ay, como dixe arriba, el prencipal género de <italic>guacas</italic> que antes que fuesen subjetos al <italic>ynga</italic> tenían, que llaman <italic>pacariscas</italic>, que quieren dezir criadoras de sus naturalezas.  Son en diferentes formas y nombres conforme a las <italic>provincias</italic>: unos tenían piedras, otros fuentes y rios, otros cuebas, otros animales y aves e otros géneros de árboles y de yervas y desta diferencia tratavan ser criados y descender de las dichas cosas, como los <italic>yngas</italic> dezia[n] ser salidos de <italic>Pacaritambo</italic>, ques de una cueba que se dize <italic>Tambo Toco</italic> y los <strong>angaraes</strong> y <italic>soras</italic> descender de una laguna llamada <italic>Choclo Cocha</italic> y desta manera todas las <italic>provincias</italic> del <italic>Pirú</italic>, cada cual de su modo aplicando cualquiera de las cosas dichas a su nascimiento.",169
9022,"Angaraes",9,"T9031","<italic>Sasaylla apo</italic>, <italic>guaca</italic> de las muy prencipales del reino.  Es una cueba detrás del pueblo de <italic>Parcos</italic>, en una ladera.  <italic>Caroamcho</italic>[?], <italic>guaca</italic> de los indios <strong>angaraes</strong>, es un cerro frontero del pueblo de <italic>Paucararay</italic>.  <italic>Jorai</italic>, <italic>guaca</italic> de los indios pariscas de Diego Favilán.  Es un cerro nevado junto al pueblo de <italic>Paucarbamba</italic>.  <italic>Choclo cacha</italic> [sic], laguna grande en la puna de <italic>Guaytara</italic>, de grande beneración, que nascen della ríos, y le hazían muchos sacrificios.  Hay alrededor della muchos minerales de plata, según dizen los antiguos. […]  En estas <italic>provincias</italic>, visitándolos yo, hallé muy muchas <italic>guacas</italic> y <italic>camayos</italic> dellas y deshize muchas dellas, y otras quemé, y quedó orden y memoria en los libros que hize de fábricas, con el aviso que pude.  Fin del obispado del <italic>Cuzco</italic> hazia <italic>Lima</italic>.","182-183"
9022,"Angaraes",9,"T9032","Han tenido y reverenciado mucho a estas <italic>guacas</italic>; hállelas en los <italic>soras</italic> y en los <italic>rucanas</italic>, en los unos y en los otros, y en los <italic>angaras</italic>.  Tuve notiscia haverlas en <italic>Xauxa</italic> y en otras <italic>provincias</italic> de <italic>Chinchaysuyo</italic> por donde fue conquistado <italic>Guaman Inga</italic>.",165
9023,"Angasquipi",9,"T9033","<italic>Yamoc Zuya</italic>[?], <italic>guaca</italic> de las más prencipales del reino de los yndios <italic>caxamalcas</italic>, es una piedra larga questá en un cerro que se llama <italic>Yamoc</italic>.[...]  <italic>Yanay guanca</italic>, <italic>guaca</italic> prencipal de los indios <italic>caxamalcas</italic>.  Es una piedra en un cerro grande questá junto al pueblo de <italic>Quinua</italic>.  <italic>Apoparato</italic>, <italic>guaca</italic> de los indios <italic>caxamalcas</italic> del <italic>ayllo</italic> <italic>Caxas</italic>, es un bolcán que está cerca al pueblo de <italic>Caxas</italic>.  <strong>Angasquispi</italic>, <italic>guaca</italic> de los indios <italic>caxas</italic>, es una piedra que dicen que andava vestida en un cerro junto al pueblo de <italic>Biena</italic>.  <italic>Quispi</italic>, <italic>guaca</italic> prencipal destos indios <italic>caxamarcas</italic> del <italic>ayllo</italic> <italic>Cuyosmango</italic>, era una peña de donde nasce agua y xripstales, en un cerro junto al pueblo de <italic>Sanchadas</italic>.  <italic>Utaran</italic>, <italic>guaca</italic> de los dichos indios de <italic>Cuyosmango</italic>, son unas piedras de xripstal.  Están en un cerro que se dize <italic>Utaran</italic> junto al pueblo <italic>Malcadan</italic>.  <italic>Coan</italic> <italic>guaca</italic> prencipal de los dichos <italic>caxamarcas</italic> del <italic>ayllo</italic> <italic>Cuyosmango</italic>.  Es un cerro grande nevado y en él una cueba ques la <italic>guaca</italic> junto al pueblo <italic>Sucnaque</italic>.  <italic>Dichan</italic>, <italic>guca</italic> prencipal de los <italic>caxamarcas</italic> del <italic>ayllo</italic> <italic>Cuyosmango</italic>, era una piedra sobre un cerro junto al pueblo de <italic>Sucat</italic>.",186
9024,"Anta",9,"T9034","<strong>Anta</strong>, piedra <italic>pacarisca</italic> de los indios <strong>antas</strong>.",179
9024,"Anta",9,"T9035","<strong>Anta</strong>, piedra <italic>pacarisca</italic> de los indios <strong>antas</italic>.",179
9025,"Añucñoc",9,"T9036","<italic>Reuisse</italic>, <italic>guaca</italic> de los indios <italic>anansayos</italic> del <italic>ayllo</italic> de <strong>Anuñuc</strong>, es un cerro grande adonde están unas piedras junto al pueblo dicho de <strong>Anuñoc</strong>.  <italic>Guica</italic>, <italic>guaca</italic> de los dichos anansayas del <italic>ayllo</italic> de <italic>Cauansibi</italic>, es un cerro grande.  Son piedras junto al pueblo de <italic>Cauanssibe</italic>.",186
9025,"Añucñoc",9,"T9037","<italic>Reuisse</italic>, <italic>guaca</italic> de los indios <italic>anansayos</italic> del <italic>ayllo</italic> de <strong>Anuñuc</strong>, es un cerro grande adonde están unas piedras junto al pueblo dicho de <strong>Anuñoc</strong>.  <italic>Guica</italic>, <italic>guaca</italic> de los dichos anansayas del <italic>ayllo</italic> de <italic>Cauansibi</italic>, es un cerro grande.  Son piedras junto al pueblo de <italic>Cauanssibe</italic>.",186
9025,"Añucñoc",9,"T9038","<italic>Reuisse</italic>, <italic>guaca</italic> de los indios <italic>anansayos</italic> del <italic>ayllo</italic> de <strong>Anuñuc</strong>, es un cerro grande adonde están unas piedras junto al pueblo dicho de <strong>Anuñoc</strong>.  <italic>Guica</italic>, <italic>guaca</italic> de los dichos anansayas del <italic>ayllo</italic> de <italic>Cauansibi</italic>, es un cerro grande.  Son piedras junto al pueblo de <italic>Cauanssibe</italic>.",186
9025,"Añucñoc",9,"T9039","<italic>Uisiguiumai</italic> es <italic>guaca</italic> de los indios <italic>cañares</italic> del <italic>ayllo</italic> de <italic>Paycara</italic>.  Es un cerro grande, [hay] en él unas piedras junto al pueblo de <strong>Anucñoc</strong>.  <italic>Barasuybira</italic>, <italic>guaca</italic> de los <italic>cañares</italic> del <italic>ayllo</italic> de <italic>Guayllasi</italic>, es una piedra questá en el cerro <italic>Barasuibirai</italic>, junto al pueblo de <italic>Guallas</italic>.",187
9026,"Apachita",9,"T9040","Ay otro género de <italic>guacas</italic>muy ordenario en todos los caminos y puertos dellos en todo el <italic>Pirú</italic>, que llaman <strong>apachita</strong> o <italic>camachico</italic> por otro nombre.  Estas las ay en todas las asomadas y bertientes de los caminos, a las cuales saludan y ofrescen los que van con cargas o fatigados de andar, y les ofrescen una oración o una piedra, de tal manera que en los dichos lugares ay muchos más montes dellas.  Otros escarvan la tierra en la propia <italic>guaca</italic> y, escarvándola, cuenta[n] sus travajos o prosperidades a la dicha <italic>guaca</italic>.  Otros hazen nudos a las pajas questán cerca.  Otros ofrescen ramos de leña, otros flores o plumas de pariguanas, que son de unas aves que llaman flamencos en España.  Otros, <italic>acollicos</italic> de <italic>coca</italic> o <italic>maíz</italic>; el <italic>acollico</italic> es un poco de <italic>coca</italic> mascada o lo que cada cual tiene por devoción.",168
